調査年月日,現状判断,分野,地区,業種,理由
2020-01-01,やや悪くなっている,雇用,東青,新聞社求人広告,消費意欲の落ち込み、将来への不安による節約志向が強い。さらに暖冬少雪も影響していると思う。
2020-01-01,やや悪くなっている,企業,下北,食料品製造,増税が響いていると思う。
2020-01-01,やや悪くなっている,企業,県南,電気機械製造,米中貿易摩擦で世界的に設備投資が滞っていて受注が低調です。
2020-01-01,やや悪くなっている,企業,県南,飲料品製造,増税の影響が大きい。日本酒は軽減税率にならず10％。出荷の動きもにぶい。小売店店頭の状況もよくない。
2020-01-01,悪くなっている,家計,津軽,一般小売店,消費税アップにより、キャッシュレス5％バックでクレジットカードの人は良いが、現金で買物をする方にはマイナス影響である。
2020-01-01,やや悪くなっている,家計,東青,観光名所等,季節変動による入館数の減少。
2020-01-01,やや悪くなっている,家計,下北,一般飲食店,年末ですが昨年よりも忘年会も減っていますし（昨年の半分）、ここはわりと繁華街なのですが人通りが少なくなっています。
2020-01-01,やや悪くなっている,家計,東青,レストラン,毎年のことだが、冬期はどうしても落ちる。
2020-01-01,変わらない,家計,津軽,観光名所等,過疎地域の加速化が目立ってきた。台風被害地域の過疎化、学校の統廃合、ローカル線の赤字拡大、商店街の消滅のニュースなど目につく。
2020-01-01,変わらない,家計,津軽,スナック,年末年始は少し活気はあるが、これからが微妙…。
2020-01-01,変わらない,家計,津軽,コンビニ,消費税upの駆け込みと増税分とプレミアム商品券の分で同じくなっていると思う。
2020-01-01,変わらない,家計,東青,設計事務所,微妙な景気変動は感じ得ないまま推移した。
2020-01-01,変わらない,家計,東青,旅行代理店,消費税10％になったが、売上げは前年比と同じ。良くなっているのか？変わらない。
2020-01-01,変わらない,家計,東青,観光型ホテル・旅館,忘新年会時期であるが昨年より若干減少している。個人客はまずまず順調。
2020-01-01,変わらない,家計,東青,商店街,過去3回（3，5，8％）の増税時と比較すると最も影響が少ないと感じられる→慣れすぎではと思われる！
2020-01-01,変わらない,家計,東青,一般小売店,思いのほか増税の影響を感じないから。
2020-01-01,変わらない,家計,東青,スナック,正直経営者の年齢のせいも有ると思いますが、景気も悪いです。だけど20代～80代のお客様、御来店になります。楽しく前向きに頑張るしか有りません。
2020-01-01,やや良くなっている,企業,津軽,電気機械製造,受注数量が増加している。
2020-01-01,やや良くなっている,家計,下北,スナック,10月、11月が、とても悪かったので。
2020-01-01,やや良くなっている,家計,津軽,設計事務所,春以降に計画している物件が動き始めた。例年通りの流れであるが、物件数が増えている。
2020-01-01,やや良くなっている,家計,津軽,都市型ホテル,上向きにならないと持ちこたえられない。
2020-01-01,やや良くなっている,家計,津軽,美容院,キャッシュレス支払のお得感でキャッシュレスが増えた。
2020-01-01,やや良くなっている,家計,東青,一般飲食店,天気(雪)がいつもの冬に比べても少ないので人がけっこうコンスタントに来てくれると思う。
2020-01-01,やや良くなっている,家計,東青,卸売業,3カ月前は10月と思い、消費増税後なので。
2020-01-01,やや悪くなっている,家計,東青,都市型ホテル,大きなイベントや大会等がなく利用客数や売上が前年を下回った為。
2020-01-01,変わらない,家計,津軽,パチンコ,特に変化が無いから。
2020-01-01,変わらない,家計,県南,衣料専門店,台風19号などの自然災害について地域的な被害がなく、政治体制など生活全般の変化が増税以外では無いから。
2020-01-01,良くなっている,家計,県南,一般小売店,3カ月前とは増税直後の最悪の月。良くて当り前。
2020-01-01,変わらない,企業,県南,広告・デザイン,広告の出稿量が年々減少している。テレビ等の電波媒体は多くなっている様に感じるが、代理店の場合、利益が20％で作業量に対してあまり利益が残らない。
2020-01-01,やや悪くなっている,家計,東青,家電量販店,雪が少ない事による除雪用品の落ち込み。増税駆け込みの反動。
2020-01-01,やや悪くなっている,家計,東青,衣料専門店,10月度の調査回答で再開発の事業関係から大型店が休業に入り通行量が急減している、消費税導入が消費にブレーキをかけているようです。
2020-01-01,やや悪くなっている,家計,東青,スーパー,10月は、消費増税直後のまとめ買いの反動がありましたが、12月はかろうじて前年をクリア。お客様の財布のヒモはカタイ。
2020-01-01,やや悪くなっている,家計,東青,乗用車販売,売上が前年を下回っている。
2020-01-01,変わらない,雇用,県南,新聞社求人広告,消費税増税で景気に影響が出るか心配したが、特に変わっていないように思う。
2020-01-01,変わらない,家計,県南,商店街,一時は増税の影響で落ち込んだ感じを受けたが、ポイント還元等で若干持ち直した部分もあると感じる。
2020-01-01,変わらない,企業,県南,経営コンサルタント,個人の給与増による所得増は、確実に進んでおり消費増動向も上向きだと思いますが、地域の利益は、中央の大企業（アマゾンなどのネット企業を含む）に吸収されている。
2020-01-01,変わらない,企業,県南,食料品製造,継続して上向く経済環境でない。
2020-01-01,変わらない,企業,県南,建設,増税前に一時的な駆け込み需要があったが、今は例年並に戻ってきているのではないか…。
2020-01-01,変わらない,企業,東青,建設,見方は様々だが市内の建設業は一頃の「どん底」時期よりはマシな状況だと思う。
2020-01-01,変わらない,家計,下北,ガソリンスタンド,以前は年末は買物客が多かったですが、年々普通の日と変わらないようになってきています。
2020-01-01,変わらない,家計,県南,美容院,お正月前後で出費が多かったのか、変化を感じません。
2020-01-01,変わらない,家計,県南,タクシー,忙しいと言っても12月の第2週、第3週の金、土あとは年末年始の1週間位。それも毎年少なくなっている。
2020-01-01,変わらない,家計,県南,旅行代理店,改善していないが、安定している。
2020-01-01,変わらない,家計,県南,観光名所等,客入数、売上共に特に変化がない。
2020-01-01,変わらない,家計,県南,卸売業,自分は、何も変わらないが、キャッシュレスのポイント還元がある為により、有利な手段でお得なら買おうと考えている人を見かける。
2020-01-01,変わらない,企業,津軽,食料品製造,日常的な食品の買物に関しては景気の動向は感じられない。
2020-04-01,悪くなっている,家計,県南,コンビニ,コロナ。たばこ分煙。
2020-04-01,悪くなっている,家計,県南,タクシー,昼の街、夜の街、どちらも人がいない。
2020-04-01,悪くなっている,家計,県南,家電量販店,コロナウイルスの関連で来店客数が大きく下がって売上に影響している。
2020-04-01,悪くなっている,家計,津軽,乗用車販売,増税後、消費行動に変化があり、コロナ発症により拡大した。
2020-04-01,悪くなっている,家計,県南,スナック,コロナ。
2020-04-01,悪くなっている,家計,県南,住宅建設販売,コロナウイルスの影響でモノが入らずお客様も動かない。
2020-04-01,悪くなっている,家計,県南,一般飲食店,コロナ騒動につきる。先が見えずどうしようもない。
2020-04-01,悪くなっている,家計,県南,旅行代理店,売上が前年同月比８０％減に落ち込んでいます。
2020-04-01,悪くなっている,家計,津軽,商店街,消費税増税とコロナウイルス問題が重なり、景気は落ち込んでいる。
2020-04-01,悪くなっている,家計,県南,商店街,新型コロナウイルスの影響が、どの業種にもみられる。
2020-04-01,悪くなっている,家計,県南,衣料専門店,コロナウイルス感染対策による外出控え。館の集客が激減している。比較的、食品は悪いなりに堅調だがそれ以外の衣料服飾住生活が低迷。
2020-04-01,悪くなっている,家計,県南,一般小売店,コロナウイルスの影響。
2020-04-01,悪くなっている,家計,津軽,レストラン,新型コロナウイルスの影響により、ビジネス・観光のお客様の宿泊、飲食店への来店がない。飲食店に関しては、地元のお客様の予約がキャンセルとなっている。
2020-04-01,悪くなっている,家計,津軽,一般小売店,消費増税×コロナのダブルパンチで打ちのめされている。
2020-04-01,悪くなっている,家計,津軽,旅行代理店,コロナウイルスの影響。
2020-04-01,悪くなっている,家計,津軽,観光型ホテル・旅館,2月中旬以降新型コロナウイルスで、キャンセル続きの為。
2020-04-01,悪くなっている,家計,県南,百貨店,増税後衣料品を中心に売上が10％程落ち込んだが、八戸でコロナ感染が出てから衣料は30％～40％、食品は10％～15％の落ち込み。
2020-04-01,悪くなっている,家計,県南,卸売業,注文の電話がならず、飲食店との取引が多い為納品も平常時の1割あるかないかという状態です。
2020-04-01,悪くなっている,家計,県南,レストラン,コロナの影響で、市街に人がいない。
2020-04-01,悪くなっている,企業,東青,経営コンサルタント,消費増税による景気の悪化は予想した程ではなかったが、今年に入ってからの「コロナウイルス」の蔓延により多くの業種で急速に悪化している。
2020-04-01,悪くなっている,家計,下北,タクシー,売り上げが、かなり減少している。
2020-04-01,悪くなっている,雇用,津軽,新聞社求人広告,新型ウイルス感染に伴う自粛ムードの浸透で、ホテル、宴会場、飲食店などでの団体予約がキャンセルされ、活気が失われている。
2020-04-01,悪くなっている,雇用,津軽,人材派遣,昨年の10月の消費税増税後、消費者の購買欲がとても低下していると思う。
2020-04-01,悪くなっている,企業,下北,食料品製造,間違いなくコロナ！！
2020-04-01,悪くなっている,企業,県南,飲料品製造,増税で動きが鈍くなっているタイミングで、コロナウイルス、自粛ムードが強くなってホテル、飲食店需要がまったくなし、という状況になった。
2020-04-01,悪くなっている,企業,県南,広告・デザイン,コロナウイルスのことで予定しているイベントが全て中止、広告も自粛で仕事が消えている状態。
2020-04-01,悪くなっている,企業,県南,建設,県内にもコロナが発生したことで各種イベントが中止となり、飲食業界、観光業界などほぼ全ての業界に影響がでている。
2020-04-01,悪くなっている,企業,県南,食料品製造,コロナの影響。
2020-04-01,悪くなっている,家計,下北,レストラン,新型コロナウイルスで外出が少なくなっている。
2020-04-01,悪くなっている,企業,津軽,飲料品製造,新型コロナウイルスの影響が多大である。
2020-04-01,悪くなっている,企業,津軽,食料品製造,飲食業やホテル業の注文がなくなった。
2020-04-01,悪くなっている,企業,東青,広告・デザイン,新コロナウイルスの影響による様々なイベントや会合の中止、集客につながるような広告の自粛等、経済活動が停滞している。
2020-04-01,悪くなっている,家計,下北,一般小売店,増税後より客数減少してますが、年明けより更に客数が落ち込んでいます。
2020-04-01,悪くなっている,家計,下北,コンビニ,コロナの影響で売上げが急速におちている。
2020-04-01,悪くなっている,家計,下北,都市型ホテル,2月末より宴会のキャンセルが相次ぎ、3月・4月はほぼ全てキャンセルになりました。
2020-04-01,悪くなっている,家計,下北,一般飲食店,コロナの事もあるんでしょうが全然人が出歩かなくなりました。
2020-04-01,悪くなっている,家計,下北,スーパー,コロナウイルスの為に一部玩具・ゲーム・食品は良いが他は大きくダウンしている為。
2020-04-01,悪くなっている,企業,津軽,経営コンサルタント,新型コロナの影響が大きい。
2020-04-01,悪くなっている,家計,津軽,衣料専門店,新型コロナウイルスの影響で買い控え。
2020-04-01,やや良くなっている,家計,東青,住宅建設販売,春に向けての住宅取得検討顧客が動き出しており契約状況も上向いたため。
2020-04-01,悪くなっている,家計,津軽,観光名所等,"新型コロナウイルスによる当施設の予約が必要な食事、弁当、体験学習等、4月1日現在キャンセルが40,000人分有り。"
2020-04-01,やや悪くなっている,企業,県南,経営コンサルタント,蕪島祭りに代表される各イベントの中止のみならず、すべての会合及びその懇親会の中止など人が外に出る機会が全くなくなった。
2020-04-01,やや悪くなっている,企業,津軽,広告・デザイン,受注量、単価等低下している。
2020-04-01,やや悪くなっている,家計,下北,ガソリンスタンド,今年は小雪だったので除雪業者や冬物の商売している業種が悪かった。それに加えてコロナの影響で、日に日に出歩く人々も減ってきているようで、ガソリンの販売数量も減ってきた。
2020-04-01,やや悪くなっている,家計,県南,設計事務所,自社は官公庁で仕事を受注しておりますが、自社の業務をみますと、依頼を受けて対応する等の日銭を稼ぐ仕事はほとんど動かず、これからの業務は動きが重くなると思います。やや悪くなっていると思われます。
2020-04-01,やや悪くなっている,家計,県南,ガソリンスタンド,新型コロナウイルスの影響により、春まつり、各種イベント等の中止等により、先行きが不透明であり、景気の気の部分の落ち込みが大きく影響している。
2020-04-01,やや悪くなっている,家計,県南,観光名所等,客入数・売上共、減少傾向。
2020-04-01,やや悪くなっている,家計,津軽,スーパー,新型コロナウイルスの影響。
2020-04-01,やや悪くなっている,家計,津軽,卸売業,コロナの影響。
2020-04-01,やや悪くなっている,家計,東青,家電量販店,お客様の消費動向として、良い商品や話題の商品への反応は良く、多少高額でも購入している。しかし、それ以外（全体的に）では節約しており、全体ではやや悪くなっている。
2020-04-01,やや悪くなっている,家計,東青,美容院,少し良くなったつもりですが、コロナの影響がでてきていると思います。
2020-04-01,やや悪くなっている,家計,東青,卸売業,外出している人が少ない為。
2020-04-01,変わらない,雇用,東青,人材派遣,まだコロナ感染症の影響は大きく受けておらず、状況の変化がほぼない。
2020-04-01,変わらない,企業,津軽,電気機械製造,現時点でのコネクター部品の所要は下がっていない。
2020-04-01,変わらない,家計,県南,美容院,来店頻度は下ったが、個人の売り上げや商品お買い上げなどにあまり変化はない。
2020-04-01,変わらない,家計,津軽,美容院,コロナで、様子を見ているのでは？
2020-04-01,変わらない,家計,東青,設計事務所,少雪で順調、平穏なスタートでした。
2020-04-01,悪くなっている,雇用,県南,新聞社求人広告,新型肺炎による自粛の影響がものすごく大きい。
2020-04-01,やや悪くなっている,企業,県南,電気機械製造,物が売れず、新型コロナで人の移動が止まってしまっては新しい開発の話も動かず、注文は減っていっている。
2020-04-01,悪くなっている,家計,津軽,パチンコ,コロナ。
2020-04-01,やや悪くなっている,雇用,東青,求人情報誌,取引先の経費見直しで取引額の減額の通告有り。
2020-04-01,悪くなっている,家計,東青,スナック,お客様ゼロの日が多いです。
2020-04-01,悪くなっている,家計,津軽,スナック,新型コロナウイルスの影響。
2020-04-01,悪くなっている,家計,津軽,コンビニ,外出するのを控えているのとスーパー等に人が取られていると思う。
2020-04-01,悪くなっている,家計,津軽,設計事務所,コロナの影響で弘前さくらまつり等のイベント中止により各業界が休業や苦しい落ち込みになっている。最悪の状況です。
2020-04-01,悪くなっている,家計,津軽,都市型ホテル,受注したものはキャンセル、新規も入らない。
2020-04-01,悪くなっている,家計,東青,新聞社求人広告,新型コロナウイルスの感染防止対策対応。感染への不安。
2020-04-01,悪くなっている,家計,東青,コンビニ,売上が半減、客数半減している。ますます下がっていくと思っています。
2020-04-01,悪くなっている,家計,東青,タクシー,現在は必要最低限の通勤・通院・生活必需品購入のための外出移動以外のいわゆる通常の社会活動・個人活動が停滞どころかほぼ停止してしまっている。人の「移動」が消えたことで、景気が悪いどころではなく景気とは一体何ぞやといった状況に近い。考えたくはないがこれからはますます悪化の方向に向かうと思う。
2020-04-01,悪くなっている,家計,東青,観光名所等,2月よりイベント自粛、4月10日より全館休館。来館者が激減。
2020-04-01,悪くなっている,家計,東青,都市型ホテル,新型コロナウイルスによる影響。
2020-04-01,悪くなっている,家計,東青,レストラン,コロナ。
2020-04-01,悪くなっている,家計,東青,衣料専門店,消費税増税からコロナ問題。昨年暮れから手の付けようが無い状態です。
2020-04-01,悪くなっている,家計,東青,ガソリンスタンド,言うまでもなくコロナウイルスの影響。
2020-04-01,悪くなっている,家計,東青,旅行代理店,やはりコロナの影響です。
2020-04-01,悪くなっている,家計,東青,観光型ホテル・旅館,コロナウィルスの影響。訪日客よりも国内客の激減が影響大きかった。
2020-04-01,悪くなっている,家計,東青,商店街,新型コロナウイルス感染症が拡大ニュース・新聞等で報じられてから、特に売上・業績に悪い影響が有る！
2020-04-01,悪くなっている,家計,東青,一般小売店,コロナの影響。
2020-04-01,悪くなっている,家計,東青,百貨店,感染症拡大の影響で客数減。
2020-04-01,悪くなっている,家計,東青,一般飲食店,コロナウイルスの影響で宴会が全て無くなった。
2020-04-01,悪くなっている,雇用,県南,人材派遣,派遣業界としては、4月からスタートした「同一労働同一賃金」による影響大！加えて、新型コロナウイルスもあり、求人（採用）減が進むと思われる。
2020-04-01,変わらない,家計,津軽,住宅建設販売,消費税増税になったことで落ち込み（お客様の建築意識）があると思ったが、1月以降もそんな気配なく、お客様の動きが活発。
2020-07-01,やや良くなっている,家計,東青,百貨店,６月に入ってから、客数や売上が週を追うごとに前年に近づいている。また衣料品や宝飾品など低迷していた高額品にも動きが見え始めている。
2020-07-01,悪くなっている,家計,津軽,観光名所等,コロナによる経済活動、社会活動の停止。
2020-07-01,悪くなっている,家計,津軽,都市型ホテル,新型コロナウイルスの影響により。
2020-07-01,悪くなっている,家計,東青,乗用車販売,新型コロナウイルスでの影響。
2020-07-01,悪くなっている,家計,東青,商店街,客数の減少が大きい！
2020-07-01,悪くなっている,家計,東青,スナック,不景気な挙げ句、コロナの影響で深刻に悩んでいます。
2020-07-01,悪くなっている,家計,東青,一般飲食店,やはりコロナです。飲食に来られるお客様が本当に少なく持ち帰りを実施してもおぎなえません。
2020-07-01,やや悪くなっている,雇用,東青,人材派遣,求人数、取引先の業績の見通しが悪い。
2020-07-01,やや悪くなっている,企業,県南,電気機械製造,コロナウイルスで世界各国が２～３カ月活動を止めたことにより、注文が必要間際まできてから出るようになっている。各顧客とも確定した使用分しか注文を出さない。
2020-07-01,やや悪くなっている,企業,津軽,食料品製造,コロナウイルスの影響。
2020-07-01,やや悪くなっている,企業,津軽,電気機械製造,旧製品の所要量が減少して来ているため。
2020-07-01,やや悪くなっている,家計,下北,スーパー,スーパーはコロナの影響で数字が上がって来ていたがここにきて 落ち着いてきている、今後は５％還元も終了するので多少落ち込むと予想される。
2020-07-01,やや悪くなっている,家計,県南,住宅建設販売,コロナウイルスの影響でお客様がまだ出歩かないため。
2020-07-01,やや悪くなっている,家計,県南,家電量販店,今、給付金と業種によって景気が良いところも多くあるが、かならず反動もありコロナの影響がまだつづくと思われる。
2020-07-01,やや悪くなっている,家計,県南,旅行代理店,現在は当社旅行部門はまったく仕事なし。ただ、周りは新築工事なども散見されて底堅いところがあるのではないか。
2020-07-01,やや悪くなっている,家計,県南,観光名所等,客入数、売上共減少傾向。
2020-07-01,やや悪くなっている,家計,県南,スーパー,コロナ禍の影響。
2020-07-01,やや悪くなっている,家計,津軽,レストラン,３カ月前位からコロナウイルスの影響でお客様が減少している。（４月末～６月中旬まで休業しておりました）
2020-07-01,悪くなっている,家計,津軽,旅行代理店,売り上げが前年比△99.5％の為。
2020-07-01,やや悪くなっている,家計,津軽,衣料専門店,会合、結婚式、イベントの中止で経済が回らない。
2020-07-01,悪くなっている,家計,津軽,パチンコ,コロナの影響。
2020-07-01,悪くなっている,家計,県南,スナック,コロナ。
2020-07-01,やや良くなっている,家計,東青,一般小売店,緊急事態宣言や移動制限の解除。
2020-07-01,悪くなっている,雇用,県南,人材派遣,新型コロナウイルスの影響が大きい。特にサービス業（観光、飲食業など）の売上低下（自粛要請）に伴う求人数の減少の影響が大きい。
2020-07-01,悪くなっている,雇用,津軽,新聞社求人広告,新型コロナウイルス感染拡大に伴う緊急事態宣言が解除され１カ月以上経過しても商店街に客足が戻っていない。夏物商戦も盛り上がらない。国民に支給された一律10万円の特別給付金による地元経済への波及効果がどうかだが、今のところ感じられない。
2020-07-01,悪くなっている,雇用,東青,新聞社求人広告,新型コロナウイルス感染拡大の影響による経済活動全般の縮小。
2020-07-01,悪くなっている,企業,下北,食料品製造,ほぼ全てコロナの影響。
2020-07-01,悪くなっている,企業,県南,飲料品製造,コロナの感染が拡大してから、４月、５月、２カ月が最悪で、前年の半分ほどの出荷量であった。
2020-07-01,悪くなっている,企業,県南,経営コンサルタント,クライアントの多くは、４月、５月の売り上げが激減した。中には50％以上減の企業も多く見られた。食料品以外の販売や飲食業が軒並み下落した。
2020-07-01,悪くなっている,企業,津軽,経営コンサルタント,影響の大小はあるが、新型コロナウイルス感染症による景気の落ち込み、及び経費増は多くの事業所に及んでいる。
2020-07-01,悪くなっている,企業,東青,経営コンサルタント,宿泊、観光、外食関係の落込みは強く、強弱はあるものの多くの業種が影響を受けている。
2020-07-01,悪くなっている,企業,東青,食料品製造,コロナ禍の中で、家で調理する機会は増えているようですが、水産物に関しては、外食に支えられていたところもある為、暑くなる今後は、尚さら、手にとる機会が減る事が予想されます。
2020-07-01,悪くなっている,家計,下北,一般小売店,コロナの影響で売上、客数大幅減。
2020-07-01,悪くなっている,家計,下北,コンビニ,以前から、必要なもの以外買わない、夜はあまり出歩かない印象だったが、新型コロナの影響でますますといった感じ。
2020-07-01,悪くなっている,家計,下北,一般飲食店,昨年の売上をみますと４月５月は昨年の３分の１くらいで終わっています。
2020-07-01,悪くなっている,家計,下北,レストラン,コロナの影響でどこまで、戻るのかまだ検討がつかない。
2020-07-01,悪くなっている,家計,県南,設計事務所,新型コロナウイルス感染拡大の影響の為。
2020-07-01,悪くなっている,家計,県南,レストラン,東京からのムダな出張が多くなってきている今、第二波が来たら、４、５月に逆戻り。イベント、宴会、全てキャンセルで悪くなっていると思う。
2020-07-01,悪くなっている,家計,県南,パチンコ,新型コロナの影響で、人が外出する消費活動が減っている。
2020-07-01,悪くなっている,家計,県南,卸売業,コロナ関係で飲食店が休業してるために、働いている方々が収入がない状況が続き、閉店するとかしないとか噂程度のもの、実際に閉店した店舗がある。失業した方々の受け入れ先もないようです。
2020-07-01,やや悪くなっている,家計,津軽,ガソリンスタンド,新型コロナの影響で 人の動きが予測できないため。
2020-07-01,悪くなっている,家計,津軽,観光型ホテル・旅館,休館中の為。
2020-07-01,やや悪くなっている,家計,津軽,住宅建設販売,衣食住の食の部分で、宴会や飲食（複数人数)を控えての会合が多い。家族での飲食も控え目である。
2020-07-01,変わらない,家計,東青,レストラン,３カ月前はちょうどコロナの影響が出始めの時だったから。
2020-07-01,変わらない,家計,東青,旅行代理店,コロナの関係で悪い状態が続いている。
2020-07-01,やや良くなっている,雇用,津軽,人材派遣,３カ月前である4月はコロナ禍の中、最大限外出を控えた最悪の状態であり、そこと比較すると「やや良くなっている」と思う。
2020-07-01,やや良くなっている,企業,東青,広告・デザイン,３カ月前と比較すれば。僅かであるが、経済が活動し始める気配がある。
2020-07-01,やや良くなっている,家計,県南,商店街,緊急事態宣言の解除、交付金の給付で若干人通り、消費が増えた感を受ける。
2020-07-01,やや良くなっている,家計,県南,百貨店,コロナの影響で４月５月の売上が一番悪く 、その時期よりはやや回復傾向にあるため。
2020-07-01,やや良くなっている,家計,県南,タクシー,まだコロナに対する警戒感が強くて、少しずつ仕事が動いている。
2020-07-01,やや良くなっている,家計,県南,一般小売店,今から２～３カ月前が最低だったので、これから良くして行くしかない。
2020-07-01,変わらない,家計,東青,パチンコ,３月頃からコロナウイルス感染症の影響で集客が落ち込み 、低迷が続いています。
2020-07-01,やや良くなっている,家計,津軽,乗用車販売,自動車の販売状況が回復に向っている様な気がする。
2020-07-01,やや良くなっている,家計,津軽,家電量販店,景気といえるのかどうか判断しかねるが、エアコンをはじめ電化製品は前年比を大きく上回る需要がある。
2020-07-01,やや良くなっている,家計,東青,コンビニ,客数は多少増えている為。
2020-07-01,やや良くなっている,家計,東青,観光名所等,３カ月前は休館していたため。
2020-07-01,良くなっている,家計,東青,家電量販店,新型コロナの影響でマスクや室内トレーニング用品など通常売れない商品が好調に売れている。しかし、お客様の収入が増えた訳ではないので、通常であれば他の商品の購入を控える事になると思うのだが、そういった動きも無く通常の消費活動を続けている様に感じる。このことから消費活動に積極的になっているという意味での景気が上向きと判断します。さらに電化製品や自転車、ブランド品など高額商品の動きも良いことから給付金10万円の影響もあると思われる。
2020-07-01,良くなっている,家計,東青,都市型ホテル,6/19移動自粛解除後、ホテルへの県外宿泊者が増え、各種宴会利用も動き出した。直近では、団体のみならず個人利用（小グループ）や個人のレストラン利用者もあり、景気の動きを左右している消費行動が伸長していることが実感されるため。
2020-07-01,良くなっている,家計,県南,衣料専門店,３カ月前（４月）はコロナ禍が拡大期だった為。その時点よりはよくなっているが、通常期よりはやや悪くなっている。
2020-07-01,やや悪くなっている,家計,津軽,設計事務所,コロナによる自粛はすべてに連鎖反応を起こしていると思います。
2020-07-01,やや良くなっている,家計,東青,住宅建設販売,５月以降非常に新築への動きが活発になり、年内入居希望という声が増えたため。
2020-07-01,やや良くなっている,家計,津軽,商店街,景気に大きな変化はないが、飲食店は少し元気になってきた。
2020-07-01,変わらない,家計,津軽,美容院,皆様、外に出ないようにしている。
2020-07-01,やや良くなっている,家計,県南,一般飲食店,コロナ状況次第ではないでしょうか。３カ月前はあまりにもヒドイ景気でしたので。
2020-07-01,やや悪くなっている,家計,東青,衣料専門店,４月、５月は国中がコロナ渦、緊急事態で市中に人出無く売上は開業以来の最低水準でした。
